"","ParentPostID","AnswerTime"
"1",3,1279566883.05
"2",3,1279566987.553
"3",7,1279567121.37
"4",6,1279567136.8
"5",3,1279567143.99
"6",1,1279567186.16
"7",3,1279567351.19
"8",7,1279567458.58
"9",7,1279567461.327
"10",2,1279567475.803
"11",3,1279567573.693
"12",7,1279567692.753
"13",3,1279567692.83
"14",17,1279567695.64
"15",25,1279567746.527
"16",22,1279567807.117
"17",35,1279567948.063
"18",26,1279567993.037
"19",3,1279567999.073
"20",25,1279568017.497
"21",40,1279568084.033
"22",26,1279568104.827
"23",36,1279568180.173
"24",33,1279568212.403
"25",8,1279568346.033
"26",30,1279568499.88
"27",22,1279568548.04
"28",50,1279568554.67
"29",2,1279568600.423
"30",47,1279568600.72
"31",26,1279568675.037
"32",36,1279568719.78
"33",51,1279568768.217
"34",54,1279568771.383
"35",54,1279568771.993
"36",44,1279568836.577
"37",54,1279568869.587
"38",7,1279568925.853
"39",58,1279569033.48
"40",35,1279569065.117
"41",6,1279569094.287
"42",73,1279569169.387
"43",36,1279569243.253
"44",53,1279569278.71
"45",54,1279569364.12
"46",62,1279569403.807
"47",73,1279569536.157
"48",75,1279569771.297
"49",44,1279569814.307
"50",50,1279570080.927
"51",50,1279570117.01
"52",44,1279570307.797
"53",75,1279570344.13
"54",23,1279570554.823
"55",75,1279570704.52
"56",75,1279570964.807
"57",1,1279571037.33
"58",73,1279571108.793
"59",31,1279571528.183
"60",44,1279571534.283
"61",97,1279571686.82
"62",103,1279571734.51
"63",103,1279571761.2
"64",103,1279571807.8
"65",100,1279572036.573
"66",40,1279572084.917
"67",103,1279572747.263
"68",103,1279573295.757
"69",114,1279573456.08
"70",114,1279573464.283
"71",118,1279573904.797
"72",118,1279574047.983
"73",118,1279574065.407
"74",118,1279574120.917
"75",125,1279574383.57
"76",125,1279574600.593
"77",125,1279574698.567
"78",130,1279574921.907
"79",125,1279574977.04
"80",4,1279575113.813
"81",4,1279575372.85
"82",124,1279575489.37
"83",138,1279575557.22
"84",138,1279575575.69
"85",103,1279575602.54
"86",138,1279575777.987
"87",124,1279576108.567
"88",138,1279576132.67
"89",145,1279576382.283
"90",145,1279576731.867
"91",146,1279576930.34
"92",125,1279577609.83
"93",118,1279578672.83
"94",10,1279579167.23
"95",1,1279579247.947
"96",155,1279579942.73
