"","Person","PostID","Score","ViewCount","QTime","HourQTime","Response_hour"
"1",8,1,23,1278,1279566732.51,19,0.12601388891538
"2",24,2,22,8198,1279566777.157,19,0.194068333307902
"3",18,3,54,3613,1279566808.577,19,0.0206869443919924
"4",23,4,13,5224,1279566811.617,19,2.30616555551688
"5",5,6,152,29229,1279566884.08,19,0.0702000000079473
"6",38,7,76,5808,1279566959.303,19,0.0450186110867394
"7",37,8,0,288,1279566981.737,19,0.378971111112171
"8",24,10,23,21925,1279567067.537,19,3.36102583335506
"9",34,11,2,224,1279567110.81,19,362.527276944452
"10",59,21,4,184,1279567476.303,19,984.616110277772
"11",66,22,102,21916,1279567539.467,19,0.0743472222487132
"12",69,23,10,7694,1279567564.363,19,0.83068333334393
"13",69,25,7,2095,1279567633.503,19,0.0313955555359523
"14",75,26,18,3476,1279567663.86,19,0.0914380555020438
"15",69,30,7,705,1279567714.22,19,0.218238888912731
"16",13,31,66,175495,1279567724.903,19,1.05646666672495
"17",69,33,5,1428,1279567803.717,19,0.113523888852861
"18",54,35,10,1223,1279567830.39,19,0.0326869444714652
"19",8,36,41,67396,1279567907.363,19,0.075780555539661
"20",59,38,4,210,1279567949.513,19,9999999
"21",69,39,8,491,1279567967.75,19,178.132555555569
"22",68,43,8,453,1279568082.643,19,9999999
"23",22,46,7,312,1279568172.14,19,9999999
"24",62,49,18,2414,1279568251.873,19,9999999
"25",68,50,1,120,1279568275.63,19,0.0775111111005147
"26",17,52,40,25962,1279568348.483,19,9999999
"27",55,53,11,497,1279568479.367,19,0.222039722204208
"28",68,57,10,1667,1279568577.99,19,9999999
"29",58,61,4,124,1279568698.033,19,9999999
"30",22,71,24,5717,1279569092.587,19,9999999
"31",69,73,5,754,1279569151.18,19,0.00505750000476837
"32",61,87,5,412,1279570627.643,20,9999999
"33",57,89,5,446,1279570895.683,20,9999999
"34",114,91,35,14608,1279571002.603,20,9999999
"35",117,94,4,3918,1279571423.32,20,9999999
"36",5,97,28,1990,1279571606.713,20,0.0222519444094764
"37",25,102,2,3980,1279571841.667,20,9999999
"38",39,106,9,413,1279572863.2,20,9999999
"39",8,107,30,1220,1279573253.077,21,9999999
"40",83,111,122,39118,1279573479.057,21,9999999
"41",131,116,23,1131,1279574250.543,21,9999999
"42",5,117,75,29261,1279574292.713,21,9999999
"43",132,120,3,12626,1279574637.973,21,9999999
"44",90,122,30,7111,1279574787.023,21,9999999
"45",138,126,10,4572,1279575158.523,21,9999999
"46",142,129,67,14326,1279575490.29,21,9999999
"47",138,136,4,2287,1279576216.26,21,9999999
"48",144,137,12,4419,1279576371.707,21,9999999
"49",154,146,27,3293,1279579430.967,22,-0.694618611137072
"50",148,147,2,233,1279579813.297,22,9999999
"51",154,151,9,2304,1279581096.24,23,9999999
"52",74,155,56,22890,1279581665.32,23,-0.47849722219838
"53",154,156,10,12304,1279581695.43,23,3.18561749994755
"54",8,158,17,1022,1279582004.747,23,9999999
"55",8,160,56,7733,1279582194.663,23,9999999
"56",71,163,15,2519,1279582642.98,23,9999999
"57",13,165,29,28291,1279582789.73,23,1.20654361108939
"58",159,171,50,39097,1279584902.92,0,9999999
"59",166,173,3,753,1279585251.767,0,7.17144333336088
"60",1356,181,3,1597,1279588691.523,1,-0.507281388905313
"61",175,183,6,838,1279590456.197,1,62.6094425000085
"62",173,184,5,506,1279591265.727,2,9999999
"63",87,185,19,4090,1279592244.8,2,9999999
"64",183,192,16,6033,1279596705.82,3,9.18785194443332
"65",187,194,12,543,1279597884.05,3,-1.30859916667143
"66",188,195,13,70255,1279598034.767,3,1.15498972223865
"67",190,201,3,430,1279601660.793,4,9999999
"68",159,202,51,9772,1279602153.793,5,9999999
"69",191,205,9,483,1279602280.84,5,17.1205091666513
"70",85,209,14,9481,1279603384.163,5,9999999
"71",191,211,26,36801,1279604266.557,5,9999999
"72",79,212,5,291,1279605255.017,5,21.1125008333392
"73",128,213,8,1418,1279605839.93,6,1.85838249994649
"74",196,214,7,617,1279606057.007,6,9999999
"75",199,229,12,470,1279612576.297,7,9999999
"76",213,236,4,454,1279615753.05,8,9999999
"77",217,242,14,1422,1279618462.213,9,-1.09152861111694
"78",217,243,14,6700,1279618724.77,9,9999999
"79",217,244,14,780,1279619003.91,9,9999999
"80",194,253,7,4254,1279622155.96,10,9999999
"81",62,255,11,53644,1279624062.403,11,9999999
"82",90,256,12,1291,1279624127.77,11,-1.04992222223017
"83",90,262,8,1517,1279626205.013,11,9999999
"84",215,263,12,3033,1279626542.49,11,9999999
"85",221,264,6,120,1279626567.543,11,9999999
"86",215,269,22,13685,1279627748.457,12,-0.785823333329625
"87",90,273,7,1068,1279628957.607,12,9999999
"88",220,274,5,1093,1279628974.187,12,9999999
"89",189,276,6,811,1279629210.577,12,0.0855794444349077
"90",125,284,55,67592,1279631510.297,13,9999999
"91",196,291,27,2939,1279635581.383,14,9999999
"92",220,307,10,1950,1279641685.59,16,9999999
"93",3807,308,11,1449,1279641820.877,16,9999999
"94",75,313,5,2388,1279643228.763,16,9999999
"95",88,321,2,435,1279649549.55,18,1199.30320916666
"96",247,326,26,4873,1279653676.22,19,9999999
"97",3807,334,8,676,1279664786.083,22,9999999
"98",90,339,9,425,1279668529.693,23,9999999
"99",196,342,14,25597,1279671875.5,0,9999999
"100",74,343,52,5188,1279673048.597,0,9999999
"101",191,348,6,485,1279684037.577,3,9999999
"102",252,351,2,754,1279686367.55,4,9999999
"103",252,352,24,1439,1279686650.663,4,9999999
"104",252,353,6,273,1279686762.52,4,9999999
"105",252,354,7,437,1279686885.7,4,-5.22786111109787
"106",210,373,4,174,1279707205.813,10,-4.46164055552747
"107",219,387,2,232,1279717893.167,13,9999999
"108",89,389,31,3293,1279719546.783,13,9999999
"109",89,392,20,5291,1279720208.847,13,9999999
"110",77,396,13,1382,1279722642.197,14,-3.22975555552377
"111",219,399,52,11458,1279724481.127,15,9999999
"112",5,401,156,64481,1279725201.493,15,9999999
"113",215,428,9,9951,1279734301.57,17,9999999
"114",259,435,7,367,1279742388.02,19,9999999
"115",223,456,14,1711,1279789116.8,8,9999999
"116",199,457,7,885,1279790247.49,9,9999999
"117",183,460,48,4470,1279793290.067,10,9999999
"118",266,461,17,23985,1279793475.21,10,9999999
"119",223,465,16,2262,1279797029.417,11,9999999
"120",210,467,10,534,1279798276.777,11,9999999
"121",62,473,2,2137,1279799901.923,11,9999999
"122",267,474,17,478,1279800388.817,12,9999999
"123",215,482,12,3303,1279806030.237,13,9999999
"124",68,492,13,1760,1279815666.09,16,-4.61468333330419
"125",88,501,7,466,1279826261.87,19,9999999
