"","Person","PostID","Score","ViewCount","QTime","HourQTime","Response_hour","Rep","Up","Down"
"1",8,1,23,1278,14809.8001447917,19,0.12601388891538,6764,604,25
"2",24,2,22,8198,14809.8006615394,19,0.194068333307902,344,36,1
"3",18,3,54,3613,14809.8010251968,19,0.0206869443919924,128,16,0
"4",23,4,13,5224,14809.8010603819,19,2.30616555551688,308,34,1
"5",5,6,152,29229,14809.8018990741,19,0.0702000000079473,6792,662,5
"6",38,7,76,5808,14809.8027697106,19,0.0450186110867394,133,1,0
"7",37,8,0,288,14809.8030293634,19,0.378971111112171,156,0,0
"8",24,10,23,21925,14809.804022419,19,3.36102583335506,344,36,1
"9",34,11,2,224,14809.8045232639,19,362.527276944452,185,23,0
"10",59,21,4,184,14809.8087535069,19,984.616110277772,402,51,0
"11",66,22,102,21916,14809.8094845718,19,0.0743472222487132,614,12,0
"12",69,23,10,7694,14809.8097727199,19,0.83068333334393,530,630,6
"13",69,25,7,2095,14809.8105729514,19,0.0313955555359523,530,630,6
"14",75,26,18,3476,14809.8109243056,19,0.0914380555020438,321,4,0
"15",69,30,7,705,14809.8115071759,19,0.218238888912731,530,630,6
"16",13,31,66,175495,14809.8116308218,19,1.05646666672495,817,44,1
"17",69,33,5,1428,14809.8125430208,19,0.113523888852861,530,630,6
"18",54,35,10,1223,14809.8128517361,19,0.0326869444714652,360,21,2
"19",8,36,41,67396,14809.8137426273,19,0.075780555539661,6764,604,25
"20",59,39,4,210,14809.8142304745,19,178.137621388899,402,51,0
"21",69,40,8,491,14809.8144415509,19,0.0323008333312141,530,630,6
"22",68,44,8,453,14809.815771331,19,0.20942611111535,503,10,0
"23",22,47,7,312,14809.8168071759,19,0.119050000045035,591,693,6
"24",62,50,18,2414,14809.8177300116,19,0.0841102777587043,549,13,3
"25",68,51,1,120,14809.8180049769,19,0.136829722192552,503,10,0
"26",17,53,40,25962,14809.8188481829,19,0.258396388888359,345,13,1
"27",55,54,11,497,14809.820363044,19,0.0811155554983351,366,48,1
"28",68,58,10,1667,14809.8215045139,19,0.126525000002649,503,10,0
"29",58,62,4,124,14809.8228939005,19,0.19604833331373,123,3,0
"30",22,73,24,5717,14809.8274604977,19,0.0213333333863152,591,693,6
"31",69,75,5,754,14809.8281386574,19,0.172254722184605,530,630,6
"32",61,93,5,412,14809.8452273495,20,1039.30727222217,1956,39,4
"33",57,95,5,446,14809.8483296644,20,303.587660277751,126,93,0
"34",114,97,35,14608,14809.8495671644,20,0.190060277779897,708,44,1
"35",117,100,4,3918,14809.8544365741,20,0.170348055561384,123,1,0
"36",5,103,28,1990,14809.8565591782,20,0.0354991666475932,6792,662,5
"37",25,109,2,3980,14809.8592785532,20,377.914070277744,4968,328,23
"38",39,113,9,413,14809.8711018519,20,1467.54882861111,1651,12,0
"39",8,114,30,1220,14809.8756143171,21,0.0563897221618229,6764,604,25
"40",83,118,122,39118,14809.8782298264,21,0.11826111111376,804,11,0
"41",131,124,23,1131,14809.8871590625,21,0.34411861108409,216,6,0
"42",5,125,75,29261,14809.8876471412,21,0.0252380555205875,6792,662,5
"43",132,128,3,12626,14809.891643206,21,3.88872333327929,33,2,0
"44",90,130,30,7111,14809.8933683218,21,0.0374677777952618,561,27,0
"45",138,134,10,4572,14809.8976680903,21,12.4394908333487,231,20,0
"46",142,138,67,14326,14809.9015079861,21,0.0185916666852103,185,10,0
"47",138,145,4,2287,14809.9099104167,21,0.0461175000005298,231,20,0
"48",144,146,12,4419,14809.9117095718,21,0.155175833304723,1396,477,1
"49",154,155,27,3293,14809.9471176736,22,0.142156388892068,321,6,0
"50",148,156,2,233,14809.9515427894,22,3.70843222220739,228,12,0
