"","Person","PostID","Score","ViewCount","QTime","HourQTime"
"1",8,1,23,1278,1279566732.51,19
"2",24,2,22,8198,1279566777.157,19
"3",18,3,54,3613,1279566808.577,19
"4",23,4,13,5224,1279566811.617,19
"5",5,6,152,29229,1279566884.08,19
"6",38,7,76,5808,1279566959.303,19
"7",37,8,0,288,1279566981.737,19
"8",24,10,23,21925,1279567067.537,19
"9",34,11,2,224,1279567110.81,19
"10",59,21,4,184,1279567476.303,19
"11",66,22,102,21916,1279567539.467,19
"12",69,23,10,7694,1279567564.363,19
"13",69,25,7,2095,1279567633.503,19
"14",75,26,18,3476,1279567663.86,19
"15",69,30,7,705,1279567714.22,19
"16",13,31,66,175495,1279567724.903,19
"17",69,33,5,1428,1279567803.717,19
"18",54,35,10,1223,1279567830.39,19
"19",8,36,41,67396,1279567907.363,19
"20",59,39,4,210,1279567949.513,19
"21",69,40,8,491,1279567967.75,19
"22",68,44,8,453,1279568082.643,19
"23",22,47,7,312,1279568172.14,19
"24",62,50,18,2414,1279568251.873,19
"25",68,51,1,120,1279568275.63,19
"26",17,53,40,25962,1279568348.483,19
"27",55,54,11,497,1279568479.367,19
"28",68,58,10,1667,1279568577.99,19
"29",58,62,4,124,1279568698.033,19
"30",22,73,24,5717,1279569092.587,19
"31",69,75,5,754,1279569151.18,19
"32",61,93,5,412,1279570627.643,20
"33",57,95,5,446,1279570895.683,20
"34",114,97,35,14608,1279571002.603,20
"35",117,100,4,3918,1279571423.32,20
"36",5,103,28,1990,1279571606.713,20
"37",25,109,2,3980,1279571841.667,20
"38",39,113,9,413,1279572863.2,20
"39",8,114,30,1220,1279573253.077,21
"40",83,118,122,39118,1279573479.057,21
"41",131,124,23,1131,1279574250.543,21
"42",5,125,75,29261,1279574292.713,21
"43",132,128,3,12626,1279574637.973,21
"44",90,130,30,7111,1279574787.023,21
"45",138,134,10,4572,1279575158.523,21
"46",142,138,67,14326,1279575490.29,21
"47",138,145,4,2287,1279576216.26,21
"48",144,146,12,4419,1279576371.707,21
"49",154,155,27,3293,1279579430.967,22
"50",148,156,2,233,1279579813.297,22
"51",154,161,9,2304,1279581096.24,23
"52",74,165,56,22890,1279581665.32,23
"53",154,166,10,12304,1279581695.43,23
"54",8,168,17,1022,1279582004.747,23
"55",8,170,56,7733,1279582194.663,23
"56",71,173,15,2519,1279582642.98,23
"57",13,175,29,28291,1279582789.73,23
"58",159,181,50,39097,1279584902.92,0
"59",166,183,3,753,1279585251.767,0
"60",1356,192,3,1597,1279588691.523,1
"61",175,194,6,838,1279590456.197,1
"62",173,195,5,506,1279591265.727,2
"63",87,196,19,4090,1279592244.8,2
"64",183,203,16,6033,1279596705.82,3
"65",187,205,12,543,1279597884.05,3
"66",188,206,13,70255,1279598034.767,3
"67",190,212,3,430,1279601660.793,4
"68",159,213,51,9772,1279602153.793,5
"69",191,216,9,483,1279602280.84,5
"70",85,220,14,9481,1279603384.163,5
"71",191,222,26,36801,1279604266.557,5
"72",79,223,5,291,1279605255.017,5
"73",128,224,8,1418,1279605839.93,6
"74",196,225,7,617,1279606057.007,6
"75",199,242,12,470,1279612576.297,7
"76",213,249,4,454,1279615753.05,8
"77",217,256,14,1422,1279618462.213,9
"78",217,257,14,6700,1279618724.77,9
"79",217,258,14,780,1279619003.91,9
"80",194,267,7,4254,1279622155.96,10
"81",62,269,11,53644,1279624062.403,11
"82",90,270,12,1291,1279624127.77,11
"83",90,276,8,1517,1279626205.013,11
"84",215,277,12,3033,1279626542.49,11
"85",221,278,6,120,1279626567.543,11
"86",215,283,22,13685,1279627748.457,12
"87",90,287,7,1068,1279628957.607,12
"88",220,288,5,1093,1279628974.187,12
"89",189,290,6,811,1279629210.577,12
"90",125,298,55,67592,1279631510.297,13
"91",196,305,27,2939,1279635581.383,14
"92",220,321,10,1950,1279641685.59,16
"93",3807,322,11,1449,1279641820.877,16
"94",75,328,5,2388,1279643228.763,16
"95",88,341,2,435,1279649549.55,18
"96",247,346,26,4873,1279653676.22,19
"97",3807,354,8,676,1279664786.083,22
"98",90,359,9,425,1279668529.693,23
"99",196,362,14,25597,1279671875.5,0
"100",74,363,52,5188,1279673048.597,0
"101",191,369,6,485,1279684037.577,3
"102",252,372,2,754,1279686367.55,4
"103",252,373,24,1439,1279686650.663,4
"104",252,374,6,273,1279686762.52,4
"105",252,375,7,437,1279686885.7,4
"106",210,395,4,174,1279707205.813,10
"107",219,409,2,232,1279717893.167,13
"108",89,411,31,3293,1279719546.783,13
"109",89,414,20,5291,1279720208.847,13
"110",77,418,13,1382,1279722642.197,14
"111",219,421,52,11458,1279724481.127,15
"112",5,423,156,64481,1279725201.493,15
"113",215,452,9,9951,1279734301.57,17
"114",259,459,7,367,1279742388.02,19
"115",223,480,14,1711,1279789116.8,8
"116",199,481,7,885,1279790247.49,9
"117",183,485,48,4470,1279793290.067,10
"118",266,486,17,23985,1279793475.21,10
"119",223,490,16,2262,1279797029.417,11
"120",210,492,10,534,1279798276.777,11
"121",62,498,2,2137,1279799901.923,11
"122",267,499,17,478,1279800388.817,12
"123",215,507,12,3303,1279806030.237,13
"124",68,517,13,1760,1279815666.09,16
"125",88,526,7,466,1279826261.87,19
"126",114,527,6,2504,1279833352.347,21
"127",159,534,44,11149,1279850162.517,1
"128",174,539,34,9369,1279865830.517,6
"129",266,548,5,571,1279882312.96,10
"130",39,558,11,339,1279901733.137,16
"131",5,562,10,1005,1279903871.79,16
"132",215,563,8,1855,1279904000.117,16
"133",215,564,5,1498,1279904270.063,16
"134",251,570,12,753,1279907967.367,17
"135",190,573,10,1043,1279914345.27,19
"136",196,575,14,6570,1279916045.327,20
"137",196,577,79,22354,1279918152.34,20
"138",99,581,4,3982,1279923156.75,22
"139",190,590,2,242,1279962554.243,9
"140",240,594,12,273,1279999559.147,19
"141",240,596,0,247,1280001048.73,19
"142",88,602,3,247,1280010580.557,22
"143",165,604,7,480,1280012945.87,23
"144",196,608,19,1244,1280034500.333,5
"145",144,612,12,3981,1280068291.773,14
"146",107,614,22,2267,1280069630.473,14
"147",159,622,15,3833,1280135541.093,9
"148",59,624,3,239,1280145191.027,11
"149",88,631,22,4341,1280160645.817,16
"150",59,633,4,411,1280165359.477,17
"151",59,638,8,771,1280168675.737,18
"152",74,641,4,1286,1280172053.477,19
"153",7,643,21,1582,1280172397.037,19
"154",9426,645,11,2750,1280172533.083,19
"155",9426,652,16,16577,1280173189.377,19
"156",292,660,7,510,1280174582.643,20
"157",327,665,39,11200,1280175437.68,20
"158",333,672,21,5405,1280176236.507,20
"159",327,685,-3,288,1280180420.87,21
