"","Person","PostID","Score","ViewCount","QTime","HourQTime","Response_hour"
"1",8,1,23,1278,1279566732.51,19,0.12601388891538
"2",24,2,22,8198,1279566777.157,19,0.194068333307902
"3",18,3,54,3613,1279566808.577,19,0.0206869443919924
"4",23,4,13,5224,1279566811.617,19,2.30616555551688
"5",5,6,152,29229,1279566884.08,19,0.0702000000079473
"6",38,7,76,5808,1279566959.303,19,0.0450186110867394
"7",37,8,0,288,1279566981.737,19,0.378971111112171
"8",24,10,23,21925,1279567067.537,19,3.36102583335506
"9",34,11,2,224,1279567110.81,19,362.527276944452
"10",59,21,4,184,1279567476.303,19,984.616110277772
"11",66,22,102,21916,1279567539.467,19,0.0743472222487132
"12",69,23,10,7694,1279567564.363,19,0.83068333334393
"13",69,25,7,2095,1279567633.503,19,0.0313955555359523
"14",75,26,18,3476,1279567663.86,19,0.0914380555020438
"15",69,30,7,705,1279567714.22,19,0.218238888912731
"16",13,31,66,175495,1279567724.903,19,1.05646666672495
"17",69,33,5,1428,1279567803.717,19,0.113523888852861
"18",54,35,10,1223,1279567830.39,19,0.0326869444714652
"19",8,36,41,67396,1279567907.363,19,0.075780555539661
"21",69,39,8,491,1279567967.75,19,178.132555555569
"25",68,50,1,120,1279568275.63,19,0.0775111111005147
"27",55,53,11,497,1279568479.367,19,0.222039722204208
"31",69,73,5,754,1279569151.18,19,0.00505750000476837
"36",5,97,28,1990,1279571606.713,20,0.0222519444094764
"49",154,146,27,3293,1279579430.967,22,-0.694618611137072
"52",74,155,56,22890,1279581665.32,23,-0.47849722219838
"53",154,156,10,12304,1279581695.43,23,3.18561749994755
"57",13,165,29,28291,1279582789.73,23,1.20654361108939
"59",166,173,3,753,1279585251.767,0,7.17144333336088
"60",1356,181,3,1597,1279588691.523,1,-0.507281388905313
"61",175,183,6,838,1279590456.197,1,62.6094425000085
"64",183,192,16,6033,1279596705.82,3,9.18785194443332
"65",187,194,12,543,1279597884.05,3,-1.30859916667143
"66",188,195,13,70255,1279598034.767,3,1.15498972223865
"69",191,205,9,483,1279602280.84,5,17.1205091666513
"72",79,212,5,291,1279605255.017,5,21.1125008333392
"73",128,213,8,1418,1279605839.93,6,1.85838249994649
"77",217,242,14,1422,1279618462.213,9,-1.09152861111694
"82",90,256,12,1291,1279624127.77,11,-1.04992222223017
"86",215,269,22,13685,1279627748.457,12,-0.785823333329625
"89",189,276,6,811,1279629210.577,12,0.0855794444349077
"95",88,321,2,435,1279649549.55,18,1199.30320916666
"105",252,354,7,437,1279686885.7,4,-5.22786111109787
"106",210,373,4,174,1279707205.813,10,-4.46164055552747
"110",77,396,13,1382,1279722642.197,14,-3.22975555552377
"124",68,492,13,1760,1279815666.09,16,-4.61468333330419
"139",190,563,2,242,1279962554.243,9,66.6253722221984
"147",159,594,15,3833,1280135541.093,9,-36.82058222221
"148",59,596,3,239,1280145191.027,11,452.325201666686
"151",59,608,8,771,1280168675.737,18,195.982243333326
"153",7,612,21,1582,1280172397.037,19,-28.5012788888481
"154",9426,614,11,2750,1280172533.083,19,-28.060891666611
"157",327,633,39,11200,1280175437.68,20,-2.50904250005881
"158",333,638,21,5405,1280176236.507,20,-1.04629638890425
"164",223,685,5,644,1280211043.347,6,-8.17841944449478
"168",327,726,2,247,1280234808.42,12,-6.38088527778784
"176",223,769,6,942,1280247582.88,16,-2.90828611115615
"181",30,798,14,1016,1280255882.297,18,-3.12533999999364
"187",9426,825,3,792,1280286934.473,3,-10.151086111135
"190",531,834,3,716,1280298696.857,6,-12.2812194444074
"191",223,837,6,392,1280304940.827,8,-12.7840816667345
"193",541,841,28,1102,1280310854.73,9,-15.0888341666592
"199",559,870,4,653,1280337309.09,17,10.8555991666847
"204",559,887,3,556,1280349813.327,20,-8.51953722225295
"205",75,890,15,1955,1280351603.387,21,-3.98739555557569
"207",511,897,15,1880,1280354342.693,21,-7.36259888894028
"208",172,899,6,574,1280364491.603,0,-9.39266472220421
"215",608,942,3,1036,1280429207.247,18,-11.6020222222143
"216",196,951,0,538,1280438997.59,21,-9.80434166663223
"218",614,955,8,4921,1280441072.143,22,-16.1436055555609
"230",642,1012,4,667,1280664482.313,12,-62.3505044444402
"235",474,1040,-2,973,1280766517.277,16,-73.8327074999942
"239",667,1066,36,11691,1280781447.65,20,-49.7752230555481
"243",8,1093,13,1765,1280842598.303,13,-38.9635758333074
"247",687,1115,5,237,1280867014.77,20,-27.662621388899
"251",698,1133,2,139,1280900511.087,5,-26.7891102777587
"255",168,1164,5,425,1280937896.337,16,-30.9832222221957
"266",760,1202,7,1139,1281002614.997,10,-35.6389122221867
"267",217,1205,11,2663,1281004964.327,10,-18.7539213889175
"270",713,1215,1,92,1281015425.597,13,-31.412013055616
"272",775,1223,17,2208,1281036394.06,19,-29.9074102777905
"276",189,1256,1,1178,1281076326.513,6,-35.9456036111381
"278",114,1261,5,324,1281088094.73,9,-38.480823055572
"283",795,1286,3,1055,1281132961.897,22,-35.9707416666879
"284",799,1289,0,429,1281152846.33,3,-41.2588813889027
"286",795,1292,11,3026,1281158338.967,5,-41.3380094444752
"298",6967,1350,13,7960,1281365562.43,14,-77.3013083333439
"299",247,1357,1,87,1281375813.807,17,-75.5590491666396
"300",253,1358,7,2435,1281376032.227,17,-77.143610277772
"317",485,1424,14,5188,1281504710.527,5,-52.9015102777878
"319",8,1432,8,498,1281521364.163,10,-47.7134027777778
"321",867,1437,2,116,1281528755.573,12,-49.4214933333132
"324",125,1444,1,658,1281534500.34,13,-47.7083758332994
"326",559,1458,7,968,1281560141.393,20,-49.9959544444746
"327",795,1459,7,489,1281560251.327,20,-46.4938372222583
"336",847,1501,4,412,1281626215.543,15,-48.2970433333185
"338",572,1507,26,1460,1281643773.55,20,-51.7656574999624
"339",511,1517,7,427,1281657192.23,23,-48.2796175000403
"341",850,1520,3,365,1281660495.973,0,-35.8683444444338
"343",1356,1540,14,6412,1281703350.22,12,-46.8093091666698
"346",559,1555,8,649,1281717825.133,16,-22.8230897221963
"347",110,1562,4,1121,1281738548.05,22,-48.2008972222275
"350",110,1571,7,1484,1281749963.253,1,-48.9321924999687
"351",511,1576,3,274,1281770160.08,7,-51.3399313888285
"356",339,1604,9,2141,1281891709.62,17,-69.1539324999518
"357",59,1610,7,884,1281912669.993,22,-74.6824016666412
"364",253,1651,22,2240,1282013522.637,2,9.58275555551052
"366",977,1661,6,2525,1282036290.343,9,-87.5411099999481
"368",114,1667,6,313,1282050609.61,13,-85.1994408333302
"369",919,1668,16,980,1282050629.173,13,-84.1326488888264
"370",253,1674,5,1196,1282060599.067,15,-66.8515972222222
